GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1600000US0427820,0427820,"Glendale city, Arizona",14856,3496,7340,1858,559,332,304,278,799,495,566,392,302,243,808,518,233,200,491,356,1194,505,1421,593,468,322,42,67,153,194,0,208,7516,1965,575,297,462,349,934,599,1035,542,81,96,408,233,280,244,1107,554,1165,563,914,461,311,232,181,164,63,106,0,208
1600000US0446000,0446000,"Mesa city, Arizona",38260,6199,18678,3469,1301,773,1992,1042,1955,712,682,446,508,320,1669,967,1819,730,2162,885,2906,1024,2074,689,982,419,411,279,217,225,0,208,19582,3165,1695,723,2125,1045,1132,521,1863,874,536,387,2033,800,1231,584,1584,728,3229,1133,1878,686,1611,599,370,288,173,164,122,166
1600000US0455000,0455000,"Phoenix city, Arizona",146078,13951,75377,7008,6843,1452,7135,1699,7810,1826,4246,1138,2422,808,6332,1129,7351,1630,6420,1448,10011,1793,9159,1691,4635,1096,1842,643,658,419,513,370,70701,8177,5682,1885,5558,1403,6932,1831,2810,909,2865,1016,7027,2186,6214,1364,6373,1440,9906,1677,8926,1676,5393,1126,2148,694,579,352,288,237
1600000US0473000,0473000,"Tempe city, Arizona",20933,5734,12370,3618,782,724,1301,853,1268,868,841,647,536,508,1152,875,866,520,1561,1543,1913,1165,1467,1013,288,472,220,232,123,146,52,84,8563,2519,497,550,895,599,541,472,252,403,494,492,833,724,1038,698,857,874,1859,838,641,516,421,477,0,208,129,155,106,176
1600000US0477000,0477000,"Tucson city, Arizona",53889,6267,27602,3273,1432,630,2003,685,1716,999,1741,906,922,565,3067,944,2746,1097,1987,763,3548,1170,4593,1028,2605,839,802,493,187,190,253,319,26287,3980,780,453,1361,686,2485,1101,1569,755,1254,696,3647,1190,1561,604,973,483,4425,1145,3549,931,2640,797,977,624,532,488,534,348
1600000US0485540,0485540,"Yuma city, Arizona",10364,2989,4106,1263,92,160,644,484,355,280,0,208,144,243,351,299,381,359,871,569,239,220,583,333,53,91,76,91,220,257,97,154,6258,2136,350,555,713,491,636,360,182,207,0,208,644,511,1367,698,413,313,641,387,446,313,425,352,288,261,153,119,0,208
1600000US0524550,0524550,"Fort Smith city, Arkansas",11945,1915,6300,1212,753,556,1000,422,900,423,432,123,181,255,269,350,178,244,294,345,996,608,661,530,433,316,203,264,0,201,0,201,5645,1392,750,476,570,472,215,308,493,75,530,380,426,301,205,155,505,453,867,571,544,380,336,327,204,264,0,201,0,201
1600000US0566080,0566080,"Springdale city, Arkansas",21440,5131,11553,2801,765,533,2147,946,1312,743,979,404,656,528,401,458,722,441,996,450,1471,867,1605,895,445,459,54,94,0,201,0,201,9887,2657,922,661,968,594,1119,699,736,329,52,90,1470,938,572,537,727,621,2197,1122,843,617,281,396,0,201,0,201,0,201
1600000US0600884,0600884,"Alhambra city, California",14124,2838,6699,1823,503,625,451,401,683,389,454,270,312,330,346,265,620,444,884,597,1188,608,513,386,259,259,206,229,96,156,184,207,7425,1620,118,139,449,360,369,365,273,325,142,150,98,162,935,670,687,431,1305,709,1496,547,664,529,289,303,346,410,254,258
1600000US0602000,0602000,"Anaheim city, California",51682,7315,26184,3951,2323,984,1892,864,3000,1148,1571,793,816,478,1903,848,1909,712,2123,900,3743,897,4490,1131,1800,723,513,300,101,121,0,210,25498,4121,1398,609,1968,757,2391,901,1177,579,1260,575,3149,1065,1838,855,2300,698,4134,1091,3400,1109,1953,700,292,201,158,259,80,137
1600000US0602252,0602252,"Antioch city, California",17101,4944,9749,3207,1045,659,700,585,697,597,697,577,279,315,1011,789,571,601,511,411,1429,928,1812,870,504,392,360,358,65,107,68,105,7352,2195,528,388,0,210,827,646,407,608,394,367,440,372,489,448,421,260,1330,704,1337,830,393,276,267,282,58,95,461,501
1600000US0603526,0603526,"Bakersfield city, California",47158,5867,24872,3954,2860,939,2049,1014,1819,791,1816,1219,1096,541,2669,1277,2201,903,2140,864,2611,819,2790,927,1561,627,634,447,586,704,40,70,22286,2894,1898,923,2343,1116,1775,891,972,442,1032,586,2705,911,1804,809,1663,840,3241,1002,1876,670,1467,621,1140,596,255,246,115,104
1600000US0603666,0603666,"Baldwin Park city, California",28001,4470,13201,2363,670,566,819,490,1155,529,541,317,47,76,1328,551,1454,858,1248,642,1812,647,1637,573,1309,469,940,511,200,222,41,68,14800,2765,635,449,1147,717,1551,786,945,499,475,338,1573,750,1313,604,1161,532,1858,686,1664,564,1351,605,874,398,253,237,0,210
1600000US0604982,0604982,"Bellflower city, California",27827,4351,14122,2619,617,572,1278,532,1077,729,948,513,914,487,1025,562,1021,632,891,461,1944,747,2638,1100,1177,514,592,375,0,210,0,210,13705,2570,1086,469,874,561,427,406,443,412,619,456,2435,1126,885,493,766,424,1795,723,2190,855,1294,589,301,254,259,287,331,358
1600000US0608786,0608786,"Buena Park city, California",12082,4043,6071,2020,64,93,195,224,1297,774,316,275,158,193,927,618,220,209,766,536,697,529,689,431,352,328,390,394,0,210,0,210,6011,2366,474,412,324,315,371,293,43,73,0,210,539,369,172,278,924,893,865,582,1212,567,616,534,197,327,148,182,126,180
1600000US0611530,0611530,"Carson city, California",10423,3573,5095,1864,287,250,596,464,380,260,262,230,47,71,213,156,409,274,218,179,170,175,1580,999,467,308,231,237,0,210,235,381,5328,1888,518,422,106,135,268,231,75,89,112,137,1008,713,262,302,153,130,1081,658,631,318,259,218,524,436,296,277,35,57
1600000US0613210,0613210,"Chino city, California",21312,4409,13865,2867,261,244,558,350,1044,647,610,532,270,218,968,571,1439,498,1123,433,3242,1016,2079,672,1151,435,841,346,279,289,0,210,7447,2160,59,99,540,425,733,420,678,389,39,65,1073,628,252,160,627,451,1318,530,694,405,413,263,808,574,213,206,0,210
1600000US0613392,0613392,"Chula Vista city, California",20379,5116,10270,2670,661,564,426,265,656,395,259,217,303,357,918,556,1151,660,1488,968,1590,739,891,354,1173,632,571,310,142,138,41,69,10109,3053,466,275,211,171,702,450,910,648,629,825,396,371,691,414,469,246,1611,801,2095,885,983,622,604,351,298,198,44,73
1600000US0615044,0615044,"Compton city, California",39738,4507,19916,2595,1609,757,1622,587,2041,762,993,415,790,429,1664,617,1027,527,1441,538,3262,957,3273,816,1414,534,319,235,420,290,41,66,19822,2557,1554,812,2353,719,2648,741,897,428,481,355,1708,623,702,377,1329,532,3045,777,2543,792,1532,809,330,294,700,440,0,210
1600000US0616000,0616000,"Concord city, California",18844,4923,9911,2964,867,590,767,481,900,656,373,555,139,164,306,366,774,626,773,512,1923,1155,2220,1007,455,463,414,369,0,210,0,210,8933,2510,785,497,645,501,641,482,424,475,210,253,513,461,891,607,537,452,1458,763,986,669,1030,587,347,386,192,230,274,305
1600000US0616350,0616350,"Corona city, California",35455,5627,17559,3107,1443,851,809,643,1299,745,715,468,1294,751,1765,865,2414,1110,674,547,2519,867,2391,764,967,488,898,572,322,383,49,106,17896,3446,1740,978,1899,677,2227,985,934,517,176,299,1438,752,1186,529,1615,759,2305,895,1991,768,1488,576,523,394,275,271,99,96
1600000US0617918,0617918,"Daly City city, California",13791,3918,7905,2100,292,273,253,410,291,277,288,357,50,85,1227,600,421,338,1092,907,1656,858,663,458,1058,668,384,301,145,172,85,146,5886,2134,543,541,488,433,219,291,0,210,288,305,425,373,1372,1216,380,255,659,313,519,341,505,492,199,177,289,351,0,210
1600000US0619766,0619766,"Downey city, California",34438,6488,17441,3922,1335,761,1239,638,1526,1123,531,431,294,284,1116,802,2267,1026,1859,742,2229,863,2374,799,1902,971,552,451,101,104,116,195,16997,3174,545,384,791,476,1535,804,631,430,454,375,1976,1241,1783,742,1510,523,1791,656,2052,781,2463,1030,943,596,456,331,67,87
1600000US0620802,0620802,"East Los Angeles CDP, California",58541,6759,29549,3705,2287,848,1783,803,2276,725,1876,695,846,377,1700,665,2883,891,2604,720,3753,1161,4337,1210,2700,855,1720,670,517,302,267,204,28992,3792,1924,809,2343,722,2621,808,715,366,1013,528,2429,777,2597,846,1960,682,3756,1097,3926,1071,2147,805,2138,800,886,463,537,419
1600000US0622230,0622230,"El Monte city, California",45034,6255,24112,3622,2097,813,1349,678,2477,855,1410,601,564,398,2596,952,2222,913,2156,794,3191,887,2742,760,1658,643,1215,625,358,244,77,107,20922,3245,897,707,1204,567,2014,701,733,416,700,383,2220,937,664,469,1334,688,3838,1174,3057,706,2679,929,1227,563,273,243,82,104
1600000US0622804,0622804,"Escondido city, California",34749,6197,18380,3358,1670,950,982,501,1745,725,926,404,931,530,2107,1072,2386,1094,1279,677,2301,988,2478,897,816,412,421,361,279,305,59,96,16369,3283,1440,766,1600,934,1489,785,838,543,476,412,1295,688,1301,648,949,606,2449,980,2346,866,1082,586,525,424,192,277,387,411
1600000US0623182,0623182,"Fairfield city, California",11166,3836,5147,2026,896,717,393,272,348,278,440,466,156,234,421,332,763,480,205,241,452,482,707,525,238,204,91,113,37,62,0,210,6019,2291,466,481,639,445,838,900,123,151,408,357,728,541,605,462,378,353,1092,591,321,328,237,148,184,238,0,210,0,210
1600000US0624477,0624477,"Florence-Graham CDP, California",30638,5002,15629,2750,2097,899,1807,733,1626,669,660,424,163,142,879,586,1399,622,1220,484,2386,759,1569,581,1243,458,430,286,150,193,0,210,15009,2597,1135,507,1514,665,1155,551,981,453,686,345,1611,615,1260,522,1452,562,1921,605,1572,571,1047,444,420,324,255,250,0,210
1600000US0624680,0624680,"Fontana city, California",88001,9451,46292,5267,3936,1356,3673,1253,4656,1396,2316,1017,1784,750,5833,1589,4551,1477,3385,1275,5745,1200,6088,1379,3104,1024,896,428,282,337,43,71,41709,5192,2695,1036,2652,914,5519,1902,2094,825,2598,1007,3611,1233,2908,969,2800,937,6292,1473,5357,1406,3045,1097,1317,611,673,423,148,209
1600000US0626000,0626000,"Fremont city, California",18902,5269,9283,2880,575,452,657,562,638,582,634,427,56,98,676,517,1649,815,571,614,1311,607,1973,862,243,281,292,407,8,17,0,210,9619,2745,529,501,996,825,760,499,600,439,21,37,985,657,1038,622,534,382,1660,893,1828,782,313,285,206,296,0,210,149,192
1600000US0627000,0627000,"Fresno city, California",63495,7852,33193,4165,3004,1366,1812,764,2621,1025,1292,566,1193,582,3669,1287,3408,1073,2490,831,4688,1387,4270,1127,2770,926,1061,617,875,425,40,65,30302,4675,2438,952,2766,1124,2727,989,1683,798,594,312,1724,791,3059,1000,3058,910,3051,798,3858,1077,2633,781,1535,613,418,364,758,614
1600000US0628000,0628000,"Fullerton city, California",17623,5062,9603,2888,1097,811,720,490,1061,630,295,336,324,298,1112,899,695,553,431,421,1517,833,647,411,1151,760,553,480,0,210,0,210,8020,2440,378,384,437,363,526,479,610,434,433,507,350,308,764,560,648,597,1194,552,952,505,1219,671,395,443,114,188,0,210
1600000US0629000,0629000,"Garden Grove city, California",22121,5833,10592,2794,795,436,796,509,703,458,336,269,536,374,1157,623,955,563,947,589,1305,545,1299,508,1101,552,514,401,148,194,0,210,11529,3591,402,296,819,494,883,558,441,357,335,271,1608,972,1627,765,471,461,1887,730,1050,489,1001,513,851,562,154,144,0,210
1600000US0632548,0632548,"Hawthorne city, California",28168,5191,13885,2717,1608,751,1462,657,1938,838,255,254,443,402,1182,579,781,611,1253,579,1814,931,1981,912,1022,639,146,209,0,210,0,210,14283,3382,1606,842,855,428,904,528,729,632,255,267,770,442,2106,848,1564,745,1937,721,1747,683,815,490,930,723,57,95,8,17
1600000US0633000,0633000,"Hayward city, California",38331,5048,19900,2781,1614,800,1965,695,1681,677,931,452,874,426,1878,696,1175,647,2312,740,2270,707,2843,789,1368,642,367,251,622,550,0,210,18431,2781,858,455,1337,748,1878,904,986,583,585,310,1242,504,1638,736,1968,597,2745,625,3046,949,1378,506,525,477,151,208,94,155
1600000US0633182,0633182,"Hemet city, California",8791,2847,3955,1611,599,499,240,280,209,177,186,267,325,301,198,213,300,298,308,270,677,413,270,200,473,342,37,61,133,158,0,210,4836,1746,281,193,535,506,419,320,158,216,0,210,178,209,666,490,98,114,628,327,695,519,718,583,272,192,113,139,75,127
1600000US0633434,0633434,"Hesperia city, California",5546,1789,2611,1028,92,153,137,164,434,325,300,295,100,83,116,133,239,222,169,192,383,251,216,179,293,196,132,165,0,210,0,210,2935,952,227,220,255,206,194,193,48,77,136,112,290,310,212,196,177,171,650,486,153,127,356,259,204,229,0,210,33,55
1600000US0636448,0636448,"Indio city, California",26716,4248,12224,2546,535,428,382,372,479,421,62,105,302,322,1010,839,1081,917,743,576,2361,1207,2329,927,2024,838,916,619,0,210,0,210,14492,2519,0,210,372,309,249,241,170,209,184,222,1195,774,889,624,1920,1062,2954,1193,2996,1119,2062,798,1301,876,200,211,0,210
1600000US0636546,0636546,"Inglewood city, California",26345,4930,15002,3012,1458,710,815,475,1194,627,642,424,600,385,999,626,1506,650,1515,652,2667,1105,1852,685,1021,471,511,332,222,270,0,210,11343,2667,1132,636,362,323,1095,719,440,306,394,386,567,343,1152,695,1195,662,1385,566,1534,557,1070,538,616,411,401,386,0,210
1600000US0637692,0637692,"Jurupa Valley city, California",43078,5579,20384,2605,1621,772,1950,864,1794,747,770,424,342,267,1599,669,2306,991,2197,1114,2862,1049,3060,1013,1268,570,375,380,240,394,0,210,22694,3616,2109,888,2652,1119,3058,1252,861,446,1779,654,1621,716,2245,1047,1406,750,2752,889,2695,799,997,399,425,260,31,52,63,108
1600000US0639486,0639486,"Lake Elsinore city, California",28498,5326,13093,2977,1067,654,1660,1038,1342,675,697,703,802,681,1546,628,1433,1047,876,661,1457,997,1094,422,913,522,206,340,0,210,0,210,15405,3063,1171,817,1258,951,1333,710,1412,888,486,409,993,650,1562,928,1808,976,2180,953,1605,644,1184,622,110,181,103,171,200,315
1600000US0639892,0639892,"Lakewood city, California",11871,3106,5604,1817,410,386,0,210,144,182,430,356,410,420,755,525,297,417,592,500,1127,570,600,397,422,355,417,357,0,210,0,210,6267,1844,0,210,352,314,824,533,322,263,454,352,583,446,307,338,497,413,874,466,1027,615,381,242,465,439,0,210,181,301
1600000US0640130,0640130,"Lancaster city, California",11606,2867,5307,1607,56,92,582,373,926,631,330,249,135,170,240,208,289,220,97,136,661,352,1290,754,458,238,177,220,0,210,66,79,6299,1658,658,462,540,348,344,239,556,399,368,268,230,169,673,520,293,213,886,420,995,607,262,169,397,374,97,124,0,210
1600000US0643000,0643000,"Long Beach city, California",84441,9196,39297,4329,2875,1292,3659,1111,4279,1148,999,450,882,444,3304,907,3072,947,3844,1094,7487,1423,3982,1187,2529,732,1455,561,780,485,150,174,45144,5649,4176,1606,2954,1039,3487,1267,2645,827,1351,616,3772,891,4564,1242,3944,1258,6744,1366,5149,1295,4043,1237,1667,713,481,339,167,270
1600000US0644000,0644000,"Los Angeles city, California",972167,29928,493411,17023,33739,2913,39027,3086,38457,3576,22188,2111,16816,2144,48537,3382,47193,3527,41864,3584,75905,4843,62697,4100,42437,3351,16098,2049,6130,1023,2323,767,478756,15629,34029,3618,37168,3181,37150,3670,22642,2433,14694,1877,43494,3417,42738,3358,36731,3205,71297,4106,58539,3579,45055,2807,21189,2108,9712,1278,4318,1098
1600000US0644574,0644574,"Lynwood city, California",35341,4539,16252,2435,1224,625,1625,675,1437,823,699,472,348,302,1673,714,1419,586,2034,882,2667,870,936,481,1517,517,542,349,123,190,8,17,19089,2924,1491,802,1418,628,1835,721,950,417,666,405,1864,684,1516,566,2295,753,3068,888,1656,598,1926,607,242,243,162,231,0,210
1600000US0645022,0645022,"Madera city, California",21786,4737,11123,2516,865,609,1094,915,892,685,627,501,189,254,1563,849,1046,674,1142,711,1446,540,498,418,670,492,1091,725,0,210,0,210,10663,2805,1215,762,1197,816,1359,702,669,430,410,379,477,560,574,606,943,471,1880,729,540,429,477,325,763,500,116,194,43,93
1600000US0646842,0646842,"Menifee city, California",18718,5267,9315,2917,411,335,1020,619,714,639,472,366,540,368,1446,1006,819,848,669,504,614,354,1626,867,748,463,127,204,109,132,0,210,9403,2833,473,318,1060,670,1050,878,461,422,551,500,667,588,741,654,411,368,1157,655,1366,712,396,262,487,372,508,588,75,119
1600000US0646898,0646898,"Merced city, California",6345,1887,3421,1211,295,275,619,584,131,160,286,283,82,130,209,215,474,316,157,157,487,355,317,253,160,179,204,174,0,210,0,210,2924,951,239,245,309,268,155,154,0,210,114,162,244,234,487,346,118,139,364,233,326,276,182,160,168,197,91,136,127,210
1600000US0648354,0648354,"Modesto city, California",10687,2921,5339,1491,317,267,374,323,332,302,265,217,0,210,167,176,458,299,295,201,828,332,713,468,1089,589,154,150,313,231,34,61,5348,1760,144,188,355,269,367,281,319,281,50,81,178,289,371,360,241,194,979,534,449,265,908,522,119,145,868,683,0,210
1600000US0649270,0649270,"Moreno Valley city, California",89740,7622,45599,4730,3102,1123,5329,1397,4095,1074,2510,843,1407,635,4546,1331,4440,1205,4289,1479,6710,1447,4317,1217,2764,929,1352,704,658,502,80,136,44141,4221,2981,967,2837,782,5064,1304,2650,1074,2444,800,4194,1137,4124,1225,3449,1042,5318,1045,5405,1303,2383,782,1697,651,1371,783,224,293
1600000US0650076,0650076,"Murrieta city, California",12556,4688,6063,2680,276,263,734,586,516,505,435,451,0,210,445,383,77,129,727,941,905,730,798,510,477,396,673,625,0,210,0,210,6493,2540,875,588,1091,874,432,399,331,272,51,92,593,603,253,289,454,440,1072,719,402,296,497,472,442,561,0,210,0,210
1600000US0652526,0652526,"Norwalk city, California",51117,5696,24964,3316,1811,979,1242,657,1557,706,1322,645,813,637,2241,903,1884,913,1946,832,4018,1213,3796,1167,2230,814,1301,710,638,432,165,268,26153,3449,2259,851,1398,649,2918,1076,574,458,1311,654,1787,771,2104,859,1605,565,4213,1324,3214,1129,2507,977,1191,528,952,536,120,120
1600000US0653000,0653000,"Oakland city, California",76105,8083,40466,4459,3828,1131,2942,841,3875,1109,1846,581,1470,462,3716,1119,3580,971,4281,1021,6688,1267,4078,1084,3131,869,1031,527,0,210,0,210,35639,4391,3322,1122,2921,938,3405,1057,1685,626,1207,580,2794,793,3384,973,2750,893,6092,1149,3808,896,2509,693,1308,465,302,270,152,165
1600000US0653322,0653322,"Oceanside city, California",16758,4925,9105,2872,548,461,396,309,626,445,47,76,600,426,854,461,1374,804,435,334,1255,702,660,394,1691,965,371,384,124,151,124,206,7653,2344,527,638,396,429,366,410,118,151,519,349,808,432,695,427,469,362,1345,568,1109,426,656,449,445,473,200,230,0,210
1600000US0653896,0653896,"Ontario city, California",55589,7895,27285,4298,2308,880,2073,854,2869,1150,1008,580,1031,571,2945,1072,1418,750,3484,1065,4259,1221,3157,1092,1483,527,975,443,201,255,74,97,28304,4481,2000,914,1360,844,2506,1060,1686,646,1234,748,2865,1029,3019,1001,1384,553,4218,1185,4218,1084,1620,766,1087,459,654,390,453,572
1600000US0653980,0653980,"Orange city, California",15638,4997,8230,2756,871,640,1367,744,484,409,365,382,248,223,125,149,920,565,737,501,1238,723,945,539,860,429,39,65,31,52,0,210,7408,2605,187,229,470,509,714,691,884,601,61,102,546,450,820,534,561,476,1241,678,1245,897,434,261,42,70,111,149,92,152
1600000US0654652,0654652,"Oxnard city, California",19521,4779,9302,2365,695,433,322,172,884,469,314,270,378,258,1338,657,881,428,695,459,1214,491,1316,605,683,380,262,165,259,182,61,76,10219,2599,945,407,874,400,1500,725,547,314,480,318,1105,481,571,360,581,300,935,437,1522,621,441,233,372,222,248,178,98,121
1600000US0655156,0655156,"Palmdale city, California",54460,6790,27493,3736,2855,1009,2097,830,2169,761,2071,776,855,509,2568,775,2133,953,1362,622,2938,1005,4364,1221,2515,994,745,443,563,479,258,395,26967,3896,1402,787,2457,1027,2467,1007,1846,783,1203,598,1746,722,2829,1082,1315,593,3725,965,4220,1019,2107,778,1297,557,353,297,0,210
1600000US0656000,0656000,"Pasadena city, California",25556,5353,11692,2708,1010,740,0,210,378,290,1088,755,443,387,1027,576,796,484,1124,716,1675,731,2508,1049,794,474,600,433,178,218,71,118,13864,3244,1395,803,1103,670,888,616,381,304,367,354,1254,713,1227,467,614,548,1963,769,2879,1135,885,483,615,371,0,210,293,307
1600000US0656700,0656700,"Perris city, California",47006,5146,23435,3570,2920,1038,1336,653,1975,809,1015,474,1301,636,3017,1199,1927,1018,1911,995,2436,866,2852,1117,1304,649,980,695,461,560,0,210,23571,3048,2709,1119,3136,1532,2384,1184,1210,650,657,486,1071,625,2034,1026,1851,727,4045,1220,1665,740,1503,724,1004,592,302,354,0,210
1600000US0657456,0657456,"Pittsburg city, California",15085,3490,7823,1979,469,246,709,310,955,477,374,308,429,387,279,307,562,452,1130,624,1331,523,839,525,578,356,162,264,0,210,6,13,7262,1859,481,406,953,495,926,607,114,130,258,259,299,267,1193,603,445,367,1360,519,370,265,634,357,208,295,21,37,0,210
1600000US0658072,0658072,"Pomona city, California",48805,6351,25396,4149,2099,910,2068,708,1734,707,1207,640,1028,620,2456,1081,2042,782,1394,694,4282,1188,3721,1073,1902,621,830,409,423,346,210,291,23409,3166,2068,943,1603,745,1990,780,1149,615,1037,586,1757,588,2211,774,1172,509,4532,1061,2381,758,1943,638,1079,500,421,323,66,107
1600000US0659444,0659444,"Rancho Cordova city, California",8620,3114,4048,1580,637,481,357,271,495,416,253,232,46,77,203,220,567,439,190,292,697,423,312,301,291,327,0,210,0,210,0,210,4572,1792,519,431,574,508,193,227,111,174,235,254,48,81,463,426,468,441,815,426,544,331,418,351,184,180,0,210,0,210
1600000US0659451,0659451,"Rancho Cucamonga city, California",17570,4687,7666,2451,698,517,469,388,783,594,196,206,42,70,612,723,627,535,654,454,1538,1381,1131,646,588,437,328,349,0,210,0,210,9904,3010,234,281,819,644,288,325,401,440,509,531,1584,1446,878,634,502,384,2022,957,1252,662,1095,573,126,123,146,141,48,81
1600000US0660102,0660102,"Redwood City city, California",14455,3676,8575,3035,429,436,706,621,105,186,230,290,353,396,1005,533,1348,1128,991,674,1541,794,1100,718,475,410,68,124,103,175,121,186,5880,1546,468,367,598,349,236,235,124,141,302,381,412,347,523,281,382,298,877,404,804,561,624,427,394,351,136,159,0,210
1600000US0660466,0660466,"Rialto city, California",20679,3967,9255,1957,539,425,835,395,843,595,715,477,172,154,843,523,354,288,727,384,1434,617,1085,452,1048,519,273,244,217,240,170,276,11424,2345,547,516,453,350,1253,643,686,435,147,142,1535,704,1218,595,1221,617,1614,631,1073,465,1187,514,269,238,82,101,139,225
1600000US0660620,0660620,"Richmond city, California",13346,4638,6118,2361,383,420,444,378,489,327,366,388,106,181,631,447,1650,1012,439,423,749,428,457,216,156,200,109,134,139,220,0,210,7228,2603,501,347,930,636,567,445,246,212,47,79,796,613,372,355,463,275,1120,496,815,495,543,343,540,421,288,278,0,210
1600000US0662000,0662000,"Riverside city, California",104410,12360,52073,6507,3699,1184,3876,1174,4667,1122,3509,1181,2166,1213,3718,1206,6118,1723,4093,1287,8665,1986,6224,1583,3027,659,1357,557,617,449,337,467,52337,6680,4453,1381,3683,1213,5413,1458,3216,1349,1601,742,4385,1415,5406,1443,4328,1079,7321,1542,5922,1494,3755,972,1692,567,927,559,235,273
1600000US0664000,0664000,"Sacramento city, California",75531,7631,38964,4630,2818,1085,4741,1345,3354,1217,1457,646,884,528,3408,1095,4693,1098,3130,1012,5404,1480,4705,1130,3091,1002,817,366,283,250,179,220,36567,4289,3801,1081,3101,1149,3159,1285,1550,566,1062,742,3720,1137,4137,1277,2456,1054,4745,1106,3841,1116,2879,856,1402,597,604,306,110,138
1600000US0664224,0664224,"Salinas city, California",92166,5341,47152,3316,4378,983,4945,930,4918,921,2270,737,1922,484,3331,743,3812,973,3753,910,8467,1121,4346,1018,3056,748,1327,554,330,260,297,320,45014,3165,3645,1367,4110,1116,5291,965,2642,683,1641,447,2662,764,4293,931,2905,862,7492,1059,4888,910,3284,762,800,470,1077,481,284,269
1600000US0665000,0665000,"San Bernardino city, California",39202,6577,20713,3576,1318,675,2323,906,1511,758,941,559,443,338,2505,877,2160,866,1384,655,2741,854,1619,675,3038,874,602,367,38,65,90,127,18489,3571,1367,764,1784,778,1815,1050,1032,519,616,379,1482,713,1545,641,1244,711,3003,841,1688,583,1531,554,951,496,253,253,178,168
1600000US0666000,0666000,"San Diego city, California",82926,10249,41758,5235,3478,1708,2252,912,3115,1016,1286,542,1354,680,4392,1129,5261,1135,5206,1216,5033,1304,5468,1228,2553,892,1716,659,291,260,353,265,41168,6013,2944,1222,1617,631,3689,1573,1892,759,1636,1004,3008,844,5406,1919,4012,1271,5609,1399,5887,1164,3366,865,1125,426,611,326,366,189
